31, 1, 
36, 1, 
40, 1, 
24, 1, 
27, 1, 
30, 1, 
34, 1, 
36, 1, 
44, 1, 
31, 1, 
43, 1, 
36, 1, 
30, 1, 
30, 1, 
33, 1, 
35, 1, 
27, 1, 
30, 1, 
31, 1, 
31, 1, 
29, 1, 
42, 1, 
26, 1, 
29, 1, 
26, 1, 
29, 1, 
26, 1, 
28, 1, 
29, 1, 
27, 1, 
25, 1, 
29, 1, 
37, 1, 
31, 1, 
31, 1, 
32, 1, 
28, 1, 
36, 1, 
36, 1, 
35, 1, 
24, 1, 
28, 1, 
36, 1, 
26, 1, 
22, 1, 
26, 1, 
25, 1, 
26, 1, 
28, 1, 
19, 2, 
28, 1, 
32, 1, 
32, 1, 
34, 1, 
35, 1, 
24, 1, 
34, 1, 
27, 1, 
33, 1, 
31, 1, 
31, 1, 
25, 1, 
29, 1, 
37, 1, 
26, 1, 
29, 1, 
37, 1, 
40, 1, 
29, 1, 
24, 1, 
30, 1, 
28, 1, 
29, 1, 
26, 1, 
34, 1, 
40, 1, 
20, 1, 
29, 1, 
33, 1, 
41, 1, 
34, 1, 
31, 1, 
35, 1, 
39, 1, 
30, 1, 
27, 1, 
22, 2, 
33, 1, 
21, 2, 
21, 2, 
34, 1, 
28, 1, 
38, 1, 
30, 1, 
38, 1, 
27, 1, 
24, 1, 
30, 1, 
26, 1, 
28, 1, 
24, 1, 
34, 1, 
30, 1, 
28, 1, 
22, 1, 
47, 1, 
16, 2, 
25, 1, 
30, 1, 
29, 1, 
28, 1, 
39, 1, 
25, 1, 
36, 1, 
29, 1, 
35, 1, 
35, 1, 
30, 1, 
37, 1, 
31, 1, 
27, 1, 
37, 1, 
22, 1, 
32, 1, 
37, 1, 
27, 1, 
28, 1, 
27, 1, 
37, 1, 
37, 1, 
39, 1, 
27, 1, 
31, 1, 
33, 1, 
37, 1, 
29, 1, 
33, 1, 
28, 1, 
26, 1, 
23, 1, 
24, 1, 
30, 1, 
9, 2, 
30, 1, 
33, 1, 
45, 1, 
42, 1, 
31, 1, 
30, 1, 
21, 2, 
36, 1, 
30, 1, 
32, 1, 
34, 1, 
28, 1, 
25, 1, 
35, 1, 
36, 1, 
27, 1, 
22, 1, 
29, 1, 
26, 1, 
31, 1, 
24, 1, 
33, 1, 
30, 1, 
31, 1, 
30, 1, 
36, 1, 
28, 1, 
26, 1, 
29, 1, 
29, 1, 
24, 1, 
27, 1, 
33, 1, 
29, 1, 
28, 1, 
26, 1, 
30, 1, 
26, 1, 
33, 1, 
32, 1, 
33, 1, 
26, 1, 
31, 1, 
38, 1, 
39, 1, 
27, 1, 
23, 1, 
36, 1, 
35, 1, 
31, 1, 
26, 1, 
34, 1, 
37, 1, 
26, 1, 
33, 1, 
32, 1, 
35, 1, 
30, 1, 
39, 1, 
32, 1, 
34, 1, 
36, 1, 
27, 1, 
